日期,更新,账户,名称,昨值,入金,出金,今值,净值
2020-02-11,2020-02-11 15:18:26,RongHang1,木兰投资,10000000,0,0,9979439.9,0.9979
2020-02-12,2020-02-12 15:16:40,RongHang1,木兰投资,9979439.91,0,0,9979155,0.9979
2020-02-13,2020-02-13 15:18:26,RongHang1,木兰投资,9979154.97,0,0,9977361.6,0.9977
2020-02-14,2020-02-14 15:18:28,RongHang1,木兰投资,9977361.59,0,0,9979396.9,0.9979
2020-02-17,2020-02-17 15:18:28,RongHang1,木兰投资,9979396.86,0,0,9966336.6,0.9966
2020-02-18,2020-02-18 15:18:28,RongHang1,木兰投资,9966336.56,0,0,9967734.6,0.9968
2020-02-19,2020-02-19 15:15:57,RongHang1,木兰投资,9967734.56,0,0,9951643.6,0.9952
2020-02-20,2020-02-20 15:18:27,RongHang1,木兰投资,9951643.58,0,0,9920928.6,0.9921
2020-02-21,2020-02-21 15:18:27,RongHang1,木兰投资,9920928.64,0,0,9938582.7,0.9939
2020-02-24,2020-02-24 15:16:40,RongHang1,木兰投资,9938582.73,0,0,9984135.7,0.9984
2020-02-25,2020-02-25 15:18:27,RongHang1,木兰投资,9984035.51,0,0,9968794.1,0.9969
2020-02-26,2020-02-26 15:17:58,RongHang1,木兰投资,9968794.07,0,0,9941617.5,0.9942
2020-02-27,2020-02-27 15:18:27,RongHang1,木兰投资,9941617.49,0,0,9953520.7,0.9954
2020-02-28,2020-02-28 15:18:28,RongHang1,木兰投资,9953520.71,0,0,10020547.2,1.0021
2020-03-02,2020-03-02 15:18:26,RongHang1,木兰投资,10020547.2,0,0,10043411.6,1.0043
2020-03-03,2020-03-03 15:18:28,RongHang1,木兰投资,10043411.56,0,0,10114849,1.0115
2020-03-04,2020-03-04 15:18:28,RongHang1,木兰投资,10114682.92,0,0,10118016.7,1.0118
2020-03-05,2020-03-05 15:16:40,RongHang1,木兰投资,10118016.74,0,0,10118461.1,1.0118
2020-03-06,2020-03-06 15:16:40,RongHang1,木兰投资,10118461.11,0,0,10133157.6,1.0133
2020-03-09,2020-03-09 15:16:40,RongHang1,木兰投资,10133157.56,0,0,10122725,1.0123
2020-03-10,2020-03-10 15:16:40,RongHang1,木兰投资,10126058.57,0,0,10175642.2,1.0176
2020-03-11,2020-03-11 15:18:26,RongHang1,木兰投资,10175642.15,0,0,10176670.2,1.0177
2020-03-12,2020-03-12 15:18:24,RongHang1,木兰投资,10176670.15,0,0,10144551,1.0145
2020-03-13,2020-03-13 15:18:28,RongHang1,木兰投资,10144551.02,0,0,10089272.1,1.0089
2020-03-16,2020-03-16 15:16:41,RongHang1,木兰投资,10089272.1,0,0,10090633.3,1.0091
2020-03-17,2020-03-17 15:18:28,RongHang1,木兰投资,10090633.3,0,0,10095477.8,1.0095
2020-03-18,2020-03-18 15:18:27,RongHang1,木兰投资,10095353.34,0,0,10034256.2,1.0034
2020-03-19,2020-03-19 15:18:28,RongHang1,木兰投资,10067506.23,0,0,9914469.1,0.9914
2020-03-20,2020-03-20 15:18:24,RongHang1,木兰投资,9932919.06,0,0,9951937.6,0.9952
2020-03-23,2020-03-23 15:18:29,RongHang1,木兰投资,9951937.56,0,0,9927107,0.9927
2020-03-24,2020-03-24 15:18:27,RongHang1,木兰投资,9934429.56,0,0,9942136.6,0.9942
2020-03-25,2020-03-25 15:17:58,RongHang1,木兰投资,9942136.57,0,0,9953344.5,0.9953
2020-03-26,2020-03-26 15:18:29,RongHang1,木兰投资,9953344.52,0,0,9944240.8,0.9944
2020-03-27,2020-03-27 15:18:29,RongHang1,木兰投资,9944111.49,0,0,9968210.3,0.9968
2020-03-30,2020-03-30 15:18:28,RongHang1,木兰投资,9968102.04,0,0,9970156.9,0.997
2020-03-31,2020-03-31 15:18:29,RongHang1,木兰投资,9970156.88,0,0,9965404.6,0.9965
2020-04-01,2020-04-01 15:18:24,RongHang1,木兰投资,9965282.66,0,0,9958392,0.9958
2020-04-02,2020-04-02 15:16:41,RongHang1,木兰投资,9958302.84,0,0,9986960.7,0.9987
2020-04-03,2020-04-03 15:18:24,RongHang1,木兰投资,9986960.67,0,0,9986960.7,0.9987
2020-04-07,2020-04-07 15:18:29,RongHang1,木兰投资,9986960.67,0,0,9970737.6,0.9971
2020-04-08,2020-04-08 15:17:59,RongHang1,木兰投资,9970654.9,0,0,9920993.4,0.9921
2020-04-09,2020-04-09 15:18:29,RongHang1,木兰投资,9920993.37,0,0,9908381.5,0.9908
2020-04-10,2020-04-10 15:18:27,RongHang1,木兰投资,9908381.48,0,0,9872601.9,0.9873
2020-04-13,2020-04-13 15:18:28,RongHang1,木兰投资,9872601.94,0,0,9874709.3,0.9875
2020-04-14,2020-04-14 15:16:41,RongHang1,木兰投资,9874709.26,0,0,9882830.8,0.9883
2020-04-15,2020-04-15 15:18:41,RongHang1,木兰投资,9882737.15,0,0,9866338.1,0.9866
2020-04-16,2020-04-16 15:18:29,RongHang1,木兰投资,9866338.05,0,0,9860855.8,0.9861
2020-04-17,2020-04-17 15:18:24,RongHang1,木兰投资,9860855.84,0,0,9886993,0.9887
